lat,lng
34.5167,69.1833
34.5167,69.1833
29.9053,69.0885
34.2019,72.0525
25.0434,66.8187
34.9292,72.4146
33.7214,73.0432
35.0164,69.3445
27.5637,68.215
35.3129,69.5152
36.8019,69.3995
34.5167,69.1833
35.148,70.302
35.284,70.1702
33.8311,69.959
37.2216,69.4975
31.5708,74.3106
33.9644,72.2083
34.7323,71.5338
37.1166,70.58
36.6676,65.7529
25.3942,68.3736
27.5637,68.215
25.0434,66.8187
30.1999,67.0097
25.3942,68.3736
24.8542,67.016
24.8542,67.016
34.2482,70.314
37.2216,69.4975
36.5729,69.8578
36.2243,69.9873
35.4206,70.9226
36.5283,69.5391
35.429,69.7348
31.7324,70.3372
24.8542,67.016
27.1806,67.8228
28.4326,69.5836
24.7286,68.2602
32.9029,70.6355
31.4796,74.3819
34.1532,71.7066
29.7945,66.7206
30.9211,72.9565
25.3942,68.3736
34.37,73.4708
34.37,73.4708
33.7214,73.0432
34.2001,70.2781
33.6007,73.0679
27.5637,68.215
30.1999,67.0097
27.5637,68.215
31.6133,65.7101
36.5283,69.5391
31.6133,65.7101
35.2383,69.7711
34.8216,67.8273
30.0913,66.9304
32.9705,70.2785
32.6268,65.8733
27.1806,67.8228
26.6921,67.6133
25.5967,68.7075
31.4166,73.0833
34.1198,72.4698
30.1999,67.0097
35.2383,69.7711
27.5271,68.7452
28.4294,69.6885
27.5637,68.215
27.8388,67.875
26.8511,68.1264
25.4624,68.7166
25.3942,68.3736
26.7328,67.7763
24.6566,68.8386
24.9578,69.3121
25.8758,68.4133
25.5316,69.003
26.0465,68.9481
28.2834,68.4387
34.0197,71.5822
33.9991,71.3646
34.1532,71.7066
24.9356,67.0405
31.4314,74.1737
35.2916,73.2906
31.0058,66.4
31.619,65.8982
32.3011,69.5799
25.3942,68.3736
34.0197,71.5822
34.0197,71.5822
25.3942,68.3736
36.5283,69.5391
33.9223,65.934
36.0147,69.5998
35.6256,70.0146
37.3841,69.4529
32.2906,69.4268
34.7863,71.5249
34.0197,71.5822
27.5637,68.215
25.7833,68.8573
26.6921,67.6133
34.1201,71.1043
27.5637,68.215
28.5833,65.4167
31.8326,70.9024
34.7632,71.4089
32.3745,62.1164
34.0197,71.5822
24.8542,67.016
25.3942,68.3736
25.3942,68.3736
27.5637,68.215
25.3942,68.3736
25.3942,68.3736
25.3942,68.3736
35.9446,68.7151
37.1166,70.58
34.6188,72.7228
30.2158,67.5881
30.1989,67.71
31.4166,73.0833
33.7214,73.0432
34.2019,72.0525
33.945,70.0854
35.6256,70.0146
24.9293,67.1279
24.8167,67.0333
24.8542,67.016
24.8687,66.9946
24.8358,67.3558
24.8546,67.0434
24.8542,67.016
24.8814,67.1611
24.9377,66.9618
24.8507,67.2707
24.8935,67.2004
25.3942,68.3736
24.8714,67.0499
24.9433,67.071
24.9356,67.0405
25.3942,68.3736
24.8915,66.8254
25.3942,68.3736
24.8404,67.1911
24.9041,67.0522
24.7975,67.0634
25.0064,67.129
24.8069,67.1477
27.7051,68.8573
24.8542,67.016
24.9507,67.1317
37.5923,70.5581
37.2843,70.416
37.0659,69.4213
29.0353,69.1595
33.4378,69.0277
32.5215,67.4132
37.4974,71.5028
33.0001,70.0698
34.7323,71.5338
34.9052,72.6419
31.4166,73.0833
33.7214,73.0432
29.2761,71.4923
24.8542,67.016
33.6007,73.0679
37.1166,70.58
36.2647,68.0155
33.3246,68.4407
31.5134,74.3467
24.7473,67.923
34.0197,71.5822
27.5637,68.215
34.37,73.4708
34.0197,71.5822
25.3942,68.3736
30.1999,67.0097
25.3942,68.3736
33.7214,73.0432
26.7728,68.2916
26.9105,68.1938
33.7214,73.0432
26.6921,67.6133
36.709,67.1109
34.5167,69.1833
26.2483,68.4095
27.7383,66.6433
32.5992,70.8511
30.1999,67.0097
27.5637,68.215
33.5508,68.4225
36.2647,68.0155
37.5923,70.5581
37.2843,70.416
34.7941,72.4086
32.3146,70.7317
34.5167,69.1833
26.0001,63.0527
34.7447,72.3546
27.7436,66.6699
31.5134,74.3467
37.1166,70.58
36.0286,70.7725
37.4212,70.6563
34.0197,71.5822
34.0197,71.5822
25.3942,68.3736
27.5637,68.215
24.8542,67.016
25.3942,68.3736
27.666,68.3425
25.3942,68.3736
34.0197,71.5822
34.9874,63.1289
35.1831,67.6796
35.0467,69.2919
31.6133,65.7101
34.4265,70.4515
34.5167,69.1833
29.9053,69.0885
27.3001,68.614
28.6473,70.6569
28.6473,70.6569
33.9991,71.3646
33.4666,68.65
31.5134,74.3467
32.5992,70.8511
34.0197,71.5822
31.5497,74.3436
24.8069,67.1477
30.1999,67.0097
30.1999,67.0097
34.0197,71.5822
33.9158,71.4218
24.8542,67.016
33.4491,71.5439
37.5923,70.5581
37.2843,70.416
36.9529,65.1238
31.6133,65.7101
35.9552,67.2692
34.8806,70.8962
32.0728,64.8359
35.9186,74.3124
27.3415,68.7082
24.9578,69.3121
24.8542,69.4036
31.5134,74.3467
25.151,69.1166
28.2359,68.7564
34.0197,71.5822
32.1058,66.9083
34.4265,70.4515
34.0197,71.5822
35.8462,71.7858
34.0197,71.5822
33.7214,73.0432
24.8542,67.016
27.7543,68.4518
35.9446,68.7151
35.9213,64.7841
36.6676,65.7529
36.2647,68.0155
36.7341,69.5336
34.5167,69.1833
31.5938,64.3716
35.3129,69.5152
35.0467,69.2919
35.2383,69.7711
37.2216,69.4975
33.8389,69.9858
25.8185,68.9574
26.6921,67.6133
25.4393,68.2902
24.9578,69.3121
25.3621,69.7339
28.2834,68.4387
33.7214,73.0432
33.4491,71.5439
33.9991,71.3646
31.5134,74.3467
33.9991,71.3646
35.8462,71.7858
34.7333,66.9667
34.1201,71.1043
24.8542,67.016
34.3482,62.1997
26.0349,64.2883
33.9223,65.934
37.3451,69.5338
32.8126,73.884
36.0047,68.0383
31.5759,65.4273
35.2383,69.7711
32.8731,69.5548
25.3942,68.3736
28.2834,68.4387
24.7622,69.1968
31.4314,74.1737
31.5134,74.3467
34.7632,71.4089
30.1999,67.0097
31.8326,70.9024
26.4179,67.8408
34.5138,71.6737
34.1532,71.7066
34.2019,72.0525
24.7406,69.7991
27.8027,68.2899
30.1999,67.0097
27.7051,68.8573
27.5637,68.215
34.0197,71.5822
34.5167,69.1833
35.9552,67.2692
27.794,66.4895
30.1999,67.0097
24.9377,66.9618
36.9529,65.1238
34.8216,67.8273
36.5729,69.8578
31.5938,64.3716
35.2383,69.7711
36.5729,69.8578
34.9054,72.2048
34.0197,71.5822
24.8542,69.4036
26.4006,68.0372
24.8299,70.4674
24.8833,68.8166
34.1138,71.1672
28.3008,70.1166
34.6565,72.0295
34.8277,71.8416
34.0197,71.5822
31.6133,65.7101
34.4046,67.684
31.5656,74.3094
25.0434,66.8187
27.5637,68.215
25.4393,68.2902
25.3098,69.0501
25.3942,68.3736
25.3942,68.3736
25.6991,68.5619
24.8299,70.4674
24.8542,67.016
24.7473,67.923
25.7345,69.1766
26.915,68.1064
28.4216,69.536
25.3942,68.3736
